日期,最高气温,最低气温,天气,风向,空气质量
2015-03-20 星期五 ,16℃,3℃,多云转晴,微风 小于3级,None
2015-03-21 星期六 ,18℃,2℃,晴,微风 小于3级,None
2015-03-22 星期日 ,16℃,4℃,晴转多云,微风 小于3级,None
2015-03-23 星期一 ,13℃,3℃,多云,微风 小于3级,None
2015-03-24 星期二 ,18℃,5℃,多云转晴,微风 小于3级,None
2015-03-25 星期三 ,20℃,3℃,晴,微风 小于3级,None
2015-03-26 星期四 ,23℃,6℃,晴,微风 小于3级,None
2015-03-27 星期五 ,22℃,7℃,多云转晴,微风 小于3级,None
2015-03-28 星期六 ,21℃,7℃,多云,微风 小于3级,None
2015-03-29 星期日 ,26℃,5℃,晴,微风 小于3级,None
2015-03-30 星期一 ,25℃,9℃,晴转多云,微风 小于3级,None
2015-03-31 星期二 ,25℃,13℃,多云,微风 小于3级,None
2015-04-01 星期三 ,21℃,16℃,浮尘转小雨,微风 小于3级,
2015-04-02 星期四 ,27℃,7℃,多云转晴,微风 小于3级,
2015-04-03 星期五 ,20℃,10℃,多云转小雨,微风 小于3级,
2015-04-04 星期六 ,9℃,4℃,小雨,微风 小于3级,
2015-04-05 星期日 ,15℃,2℃,多云,微风 小于3级,
2015-04-06 星期一 ,12℃,6℃,小雨转多云,微风 小于3级,
2015-04-07 星期二 ,16℃,2℃,多云转晴,微风 小于3级,
2015-04-08 星期三 ,16℃,4℃,晴转多云,微风 小于3级,
2015-04-09 星期四 ,16℃,6℃,多云,微风 小于3级,
2015-04-10 星期五 ,17℃,6℃,多云转阵雨,微风 小于3级,
2015-04-11 星期六 ,18℃,6℃,阵雨转多云,微风 小于3级,
2015-04-12 星期日 ,18℃,3℃,晴,北风 3-4级,
2015-04-13 星期一 ,22℃,3℃,晴,微风 小于3级,
2015-04-14 星期二 ,24℃,8℃,多云,微风 小于3级,
2015-04-15 星期三 ,26℃,7℃,晴,微风 小于3级,
2015-04-16 星期四 ,27℃,7℃,晴,微风 小于3级,
2015-04-17 星期五 ,25℃,12℃,晴转阵雨,微风 小于3级,
2015-04-18 星期六 ,20℃,11℃,小到中雨,北风 3-4级,
2015-04-19 星期日 ,20℃,7℃,多云,微风 小于3级,
2015-04-20 星期一 ,20℃,8℃,多云转阵雨,微风 小于3级,
2015-04-21 星期二 ,20℃,5℃,阵雨转多云,微风 小于3级,
2015-04-22 星期三 ,23℃,7℃,晴,微风 小于3级,
2015-04-23 星期四 ,24℃,9℃,晴转多云,微风 小于3级,
2015-04-24 星期五 ,24℃,11℃,多云,微风 小于3级,
2015-04-25 星期六 ,25℃,10℃,多云转阵雨,微风 小于3级,
2015-04-26 星期日 ,27℃,10℃,多云转晴,微风 小于3级,
2015-04-27 星期一 ,29℃,10℃,晴,微风 小于3级,
2015-04-28 星期二 ,30℃,11℃,晴,微风 小于3级,
2015-04-29 星期三 ,29℃,13℃,晴转多云,微风 小于3级,
2015-04-30 星期四 ,23℃,14℃,阵雨转小雨,微风 小于3级,
2015-05-01 星期五 ,24℃,8℃,小雨转多云,微风 小于3级,
2015-05-02 星期六 ,25℃,10℃,多云转阵雨,微风 小于3级,
2015-05-03 星期日 ,22℃,10℃,小雨转多云,微风 小于3级,
2015-05-04 星期一 ,25℃,9℃,晴,微风 小于3级,
2015-05-05 星期二 ,25℃,12℃,多云,微风 小于3级,
2015-05-06 星期三 ,24℃,8℃,多云转晴,微风~北风 小于3级~3-4级,
2015-05-07 星期四 ,23℃,10℃,多云,微风 小于3级,
2015-05-08 星期五 ,21℃,10℃,多云~晴,微风 小于3级,
2015-05-09 星期六 ,26℃,9℃,晴~多云,微风 小于3级,
2015-05-10 星期日 ,29℃,10℃,晴~多云,微风 小于3级,
2015-05-11 星期一 ,20℃,6℃,晴,微风 小于3级,
2015-05-12 星期二 ,28℃,12℃,晴,微风 小于3级,
2015-05-13 星期三 ,30℃,15℃,晴,微风 小于3级,
2015-05-14 星期四 ,26℃,13℃,阵雨~多云,微风 小于3级,
2015-05-15 星期五 ,26℃,12℃,晴,微风 小于3级,
2015-05-16 星期六 ,25℃,12℃,阵雨~多云,微风 小于3级,
2015-05-17 星期日 ,29℃,13℃,晴,微风 小于3级,
2015-05-18 星期一 ,32℃,15℃,晴,微风 小于3级,
2015-05-19 星期二 ,30℃,10℃,晴,微风 小于3级,
2015-05-20 星期三 ,23℃,8℃,小雨,微风 小于3级,
2015-05-21 星期四 ,22℃,12℃,多云~晴,微风 小于3级,
2015-05-22 星期五 ,25℃,12℃,晴,微风 小于3级,
2015-05-23 星期六 ,28℃,13℃,晴~阴,微风 小于3级,
2015-05-24 星期日 ,30℃,14℃,晴,微风 小于3级,
2015-05-25 星期一 ,29℃,13℃,晴,微风 小于3级,
2015-05-26 星期二 ,29℃,16℃,晴,微风 小于3级,
2015-05-27 星期三 ,29℃,12℃,多云~,微风 小于3级,
2015-05-28 星期四 ,23℃,10℃,小雨~,微风 小于3级,
2015-05-29 星期五 ,23℃,12℃,晴,微风 小于3级,
2015-05-30 星期六 ,28℃,14℃,晴~多云,微风 小于3级,
2015-05-31 星期日 ,28℃,14℃,晴,微风 小于3级,
2015-06-01 星期一 ,23℃,14℃,多云,微风 小于3级,
2015-06-02 星期二 ,22℃,13℃,阵雨~小雨,微风 小于3级,
2015-06-03 星期三 ,23℃,12℃,小雨,微风 小于3级,
2015-06-04 星期四 ,23℃,11℃,晴,微风 小于3级,
2015-06-05 星期五 ,29℃,15℃,晴,微风 小于3级,
2015-06-06 星期六 ,28℃,15℃,晴~阵雨,微风 小于3级,
2015-06-07 星期日 ,25℃,14℃,阵雨~晴,微风 小于3级,
2015-06-08 星期一 ,30℃,16℃,晴,微风 小于3级,
2015-06-09 星期二 ,31℃,16℃,晴~阵雨,微风 小于3级,
2015-06-10 星期三 ,27℃,13℃,多云~晴,微风 小于3级,
2015-06-11 星期四 ,29℃,14℃,晴,微风 小于3级,
2015-06-12 星期五 ,30℃,15℃,晴,微风 小于3级,
2015-06-13 星期六 ,30℃,17℃,多云~晴,微风 小于3级,
2015-06-14 星期日 ,29℃,16℃,多云,微风 小于3级,
2015-06-15 星期一 ,30℃,18℃,多云~晴,微风 小于3级,
2015-06-16 星期二 ,31℃,18℃,多云,微风 小于3级,
2015-06-17 星期三 ,31℃,20℃,多云,微风 小于3级,
2015-06-18 星期四 ,28℃,16℃,多云~小雨,微风 小于3级,
2015-06-19 星期五 ,26℃,14℃,小雨,微风 小于3级,
2015-06-20 星期六 ,24℃,14℃,多云,微风 小于3级,
2015-06-21 星期日 ,31℃,18℃,晴~多云,微风 小于3级,
2015-06-22 星期一 ,28℃,17℃,多云~小雨,微风 小于3级,
2015-06-23 星期二 ,23℃,15℃,小雨~多云,微风 小于3级,
2015-06-24 星期三 ,26℃,15℃,阵雨~多云,微风 小于3级,
2015-06-25 星期四 ,30℃,19℃,晴,微风 小于3级,
2015-06-26 星期五 ,29℃,20℃,多云,微风 小于3级,
2015-06-27 星期六 ,29℃,20℃,阵雨~多云,微风 小于3级,
2015-06-28 星期日 ,28℃,20℃,阵雨~小雨,微风 小于3级,
2015-06-29 星期一 ,27℃,19℃,阵雨~多云,微风 小于3级,
2015-06-30 星期二 ,27℃,18℃,阵雨~多云,微风 小于3级,
2015-07-01 星期三 ,29℃,18℃,阵雨~小雨,微风 小于3级,
2015-07-02 星期四 ,26℃,16℃,小雨~多云,微风 小于3级,
2015-07-03 星期五 ,25℃,16℃,多云,微风 小于3级,
2015-07-04 星期六 ,25℃,16℃,阵雨,微风 小于3级,
2015-07-05 星期日 ,27℃,15℃,多云~晴,微风 小于3级,
2015-07-06 星期一 ,32℃,17℃,晴,微风 小于3级,
2015-07-07 星期二 ,32℃,18℃,晴,微风 小于3级,
2015-07-08 星期三 ,28℃,15℃,小雨,微风 小于3级,
2015-07-09 星期四 ,26℃,15℃,多云~晴,微风 小于3级,
2015-07-10 星期五 ,32℃,17℃,晴,微风 小于3级,
2015-07-11 星期六 ,33℃,18℃,晴,微风 小于3级,
2015-07-12 星期日 ,28℃,16℃,阵雨,微风 小于3级,
2015-07-13 星期一 ,30℃,16℃,阵雨,微风 小于3级,
2015-07-14 星期二 ,29℃,15℃,多云,微风 小于3级,
2015-07-15 星期三 ,28℃,15℃,雷雨~多云,微风 小于3级,
2015-07-16 星期四 ,26℃,13℃,阵雨~晴,微风 小于3级,
2015-07-17 星期五 ,30℃,15℃,晴~多云,微风 小于3级,
2015-07-18 星期六 ,29℃,15℃,阵雨~晴,微风 小于3级,
2015-07-19 星期日 ,32℃,16℃,多云~晴,微风 小于3级,
2015-07-20 星期一 ,33℃,17℃,多云,微风 小于3级,
2015-07-21 星期二 ,31℃,18℃,阵雨,微风 小于3级,
2015-07-22 星期三 ,28℃,17℃,多云,微风 小于3级,
2015-07-23 星期四 ,28℃,15℃,晴,微风 小于3级,
2015-07-24 星期五 ,33℃,17℃,晴,微风 小于3级,
2015-07-25 星期六 ,36℃,19℃,晴,微风 小于3级,
2015-07-26 星期日 ,37℃,20℃,晴,微风 小于3级,
2015-07-27 星期一 ,38℃,20℃,晴,微风 小于3级,
2015-07-28 星期二 ,38℃,21℃,晴,微风 小于3级,
2015-07-29 星期三 ,37℃,21℃,晴,微风 小于3级,
2015-07-30 星期四 ,36℃,22℃,多云~晴,微风 小于3级,
2015-07-31 星期五 ,37℃,22℃,晴,微风 小于3级,
2015-08-01 星期六 ,37℃,24℃,多云,微风 小于3级,
2015-08-02 星期日 ,33℃,18℃,阵雨~中雨,微风 小于3级,
2015-08-03 星期一 ,29℃,17℃,中雨~阵雨,微风 小于3级,
2015-08-04 星期二 ,29℃,16℃,阵雨~晴,微风 小于3级,
2015-08-05 星期三 ,32℃,17℃,晴,微风 小于3级,
2015-08-06 星期四 ,32℃,19℃,多云,微风 小于3级,
2015-08-07 星期五 ,30℃,18℃,雷阵雨~小到中雨,微风 小于3级,
2015-08-08 星期六 ,27℃,18℃,小雨~阵雨,微风 小于3级,
2015-08-09 星期日 ,28℃,18℃,阵雨~多云,微风 小于3级,
2015-08-10 星期一 ,30℃,18℃,阵雨,微风 小于3级,
2015-08-11 星期二 ,32℃,19℃,多云~晴,微风 小于3级,
2015-08-12 星期三 ,34℃,19℃,晴~多云,微风 小于3级,
2015-08-13 星期四 ,29℃,16℃,小雨,微风 小于3级,
2015-08-14 星期五 ,29℃,15℃,多云~晴,微风 小于3级,
2015-08-15 星期六 ,33℃,17℃,晴~多云,微风 小于3级,
2015-08-16 星期日 ,29℃,13℃,多云,微风 小于3级,
2015-08-17 星期一 ,28℃,16℃,多云,微风 小于3级,
2015-08-18 星期二 ,28℃,13℃,阵雨~晴,微风 小于3级,
2015-08-19 星期三 ,27℃,14℃,晴~多云,微风 小于3级,
2015-08-20 星期四 ,28℃,14℃,多云~晴,微风 小于3级,
2015-08-21 星期五 ,30℃,15℃,晴,微风 小于3级,
2015-08-22 星期六 ,30℃,15℃,晴~多云,微风 小于3级,
2015-08-23 星期日 ,28℃,14℃,多云~晴,微风 小于3级,
2015-08-24 星期一 ,30℃,14℃,晴,微风 小于3级,
2015-08-25 星期二 ,30℃,15℃,晴,微风 小于3级,
2015-08-26 星期三 ,30℃,15℃,晴~多云,微风 小于3级,
2015-08-27 星期四 ,29℃,15℃,多云,微风 小于3级,
2015-08-28 星期五 ,30℃,15℃,多云~晴,微风 小于3级,
2015-08-29 星期六 ,32℃,16℃,晴,微风 小于3级,
2015-08-30 星期日 ,31℃,16℃,晴,微风 小于3级,
2015-08-31 星期一 ,32℃,16℃,晴,微风 小于3级,
2015-09-01 星期二 ,31℃,19℃,多云,微风 小于3级,
2015-09-02 星期三 ,27℃,17℃,阵雨~小雨,微风 小于3级,
2015-09-03 星期四 ,24℃,16℃,小雨,微风 小于3级,
2015-09-04 星期五 ,28℃,17℃,多云~晴,微风 小于3级,
2015-09-05 星期六 ,28℃,15℃,晴,微风 小于3级,
2015-09-06 星期日 ,31℃,17℃,晴~多云,微风 小于3级,
2015-09-07 星期一 ,28℃,15℃,小雨,微风 小于3级,
2015-09-08 星期二 ,19℃,14℃,小雨,微风 小于3级,
2015-09-09 星期三 ,18℃,13℃,小雨,微风 小于3级,
2015-09-10 星期四 ,18℃,12℃,小雨~多云,微风 小于3级,
2015-09-11 星期五 ,20℃,9℃,多云~晴,微风 小于3级,
2015-09-12 星期六 ,22℃,11℃,多云,微风 小于3级,
2015-09-13 星期日 ,23℃,9℃,晴,微风 小于3级,
2015-09-14 星期一 ,27℃,11℃,晴,微风 小于3级,
2015-09-15 星期二 ,27℃,14℃,多云,微风 小于3级,
2015-09-16 星期三 ,23℃,12℃,小雨,微风 小于3级,
2015-09-17 星期四 ,21℃,13℃,小雨,微风 小于3级,
2015-09-18 星期五 ,24℃,12℃,多云~小雨,微风 小于3级,
2015-09-19 星期六 ,25℃,11℃,多云~晴,微风 小于3级,
2015-09-20 星期日 ,28℃,12℃,晴,微风 小于3级,
2015-09-21 星期一 ,26℃,11℃,多云~小雨,微风 小于3级,
2015-09-22 星期二 ,24℃,12℃,多云,微风 小于3级,
2015-09-23 星期三 ,19℃,10℃,小雨~多云,微风 小于3级,
2015-09-24 星期四 ,22℃,10℃,多云,微风 小于3级,
2015-09-25 星期五 ,23℃,12℃,多云,微风 小于3级,
2015-09-26 星期六 ,24℃,14℃,晴~多云,微风 小于3级,
2015-09-27 星期日 ,21℃,12℃,小雨,微风 小于3级,
2015-09-28 星期一 ,18℃,13℃,小雨,微风 小于3级,
2015-09-29 星期二 ,22℃,8℃,阴~小雨,微风 小于3级,
2015-09-30 星期三 ,12℃,4℃,小雨~多云,微风 小于3级,
2015-10-01 星期四 ,19℃,6℃,晴,微风 小于3级,
2015-10-02 星期五 ,20℃,7℃,晴~多云,微风 小于3级,
2015-10-03 星期六 ,23℃,8℃,多云,微风 小于3级,
2015-10-04 星期日 ,24℃,9℃,晴~多云,微风 小于3级,
2015-10-05 星期一 ,24℃,11℃,晴,微风 小于3级,
2015-10-06 星期二 ,23℃,9℃,晴~多云,微风 小于3级,
2015-10-07 星期三 ,21℃,7℃,晴~多云,微风 小于3级,
2015-10-08 星期四 ,17℃,4℃,多云~晴,微风 小于3级,
2015-10-09 星期五 ,22℃,7℃,晴,微风 小于3级,
2015-10-10 星期六 ,21℃,4℃,晴,微风 小于3级,
2015-10-11 星期日 ,22℃,7℃,晴,微风 小于3级,
2015-10-12 星期一 ,22℃,10℃,晴~多云,微风 小于3级,
2015-10-13 星期二 ,22℃,8℃,晴,微风 小于3级,
2015-10-14 星期三 ,24℃,7℃,晴,微风 小于3级,
2015-10-15 星期四 ,26℃,9℃,晴,微风 小于3级,
2015-10-16 星期五 ,23℃,9℃,晴~多云,微风 小于3级,
2015-10-17 星期六 ,20℃,6℃,多云,微风 小于3级,
2015-10-18 星期日 ,25℃,7℃,晴,微风 小于3级,
2015-10-19 星期一 ,25℃,7℃,晴,微风 小于3级,
2015-10-20 星期二 ,25℃,10℃,晴~多云,微风 小于3级,
2015-10-21 星期三 ,17℃,7℃,阴~小雨,微风 小于3级,
2015-10-22 星期四 ,16℃,7℃,多云,微风 小于3级,
2015-10-23 星期五 ,20℃,10℃,多云~小雨,微风 小于3级,
2015-10-24 星期六 ,17℃,11℃,多云~小雨,微风 小于3级,
2015-10-25 星期日 ,17℃,3℃,多云~小雨,微风 小于3级,
2015-10-26 星期一 ,12℃,0℃,多云~晴,微风 小于3级,
2015-10-27 星期二 ,15℃,2℃,多云,微风 小于3级,
2015-10-28 星期三 ,14℃,4℃,晴,微风 小于3级,
2015-10-29 星期四 ,13℃,2℃,多云,微风 小于3级,
2015-10-30 星期五 ,9℃,-2℃,雨夹雪,微风 小于3级,
2015-10-31 星期六 ,10℃,-1℃,晴,微风 小于3级,
2015-11-01 星期日 ,14℃,1℃,晴,微风 小于3级,
2015-11-02 星期一 ,16℃,4℃,晴~多云,微风 小于3级,
2015-11-03 星期二 ,15℃,3℃,晴,微风 小于3级,
2015-11-04 星期三 ,12℃,5℃,多云~小雨,微风 小于3级,
2015-11-05 星期四 ,11℃,6℃,小雨,微风 小于3级,
2015-11-06 星期五 ,9℃,4℃,小雨~雨夹雪,微风 小于3级,
2015-11-07 星期六 ,7℃,0℃,多云,微风 小于3级,
2015-11-08 星期日 ,11℃,1℃,晴,微风 小于3级,
2015-11-09 星期一 ,13℃,2℃,多云,微风 小于3级,
2015-11-10 星期二 ,13℃,4℃,晴~多云,微风 小于3级,
2015-11-11 星期三 ,11℃,4℃,阴~多云,微风 小于3级,
2015-11-12 星期四 ,15℃,0℃,晴,微风 小于3级,
2015-11-13 星期五 ,17℃,2℃,晴~多云,微风 小于3级,
2015-11-14 星期六 ,13℃,3℃,多云,微风 小于3级,
2015-11-15 星期日 ,14℃,1℃,多云,微风 小于3级,
2015-11-16 星期一 ,14℃,4℃,多云,微风 小于3级,
2015-11-17 星期二 ,13℃,0℃,晴,微风 小于3级,
2015-11-18 星期三 ,13℃,0℃,晴,微风 小于3级,
2015-11-19 星期四 ,13℃,2℃,晴~多云,微风 小于3级,
2015-11-20 星期五 ,15℃,4℃,多云,微风 小于3级,
2015-11-21 星期六 ,12℃,4℃,多云,微风 小于3级,
2015-11-22 星期日 ,12℃,4℃,多云,微风 小于3级,
2015-11-23 星期一 ,8℃,4℃,雨夹雪~小雪,微风 小于3级,
2015-11-24 星期二 ,6℃,-3℃,多云,微风 小于3级,
2015-11-25 星期三 ,7℃,-4℃,晴,微风 小于3级,
2015-11-26 星期四 ,11℃,-2℃,晴,微风 小于3级,
2015-11-27 星期五 ,10℃,-2℃,多云,微风 小于3级,
2015-11-28 星期六 ,10℃,-2℃,多云~晴,微风 小于3级,
2015-11-29 星期日 ,11℃,-2℃,晴,微风 小于3级,
2015-11-30 星期一 ,12℃,-2℃,晴~多云,微风 小于3级,
2015-12-01 星期二 ,7℃,-5℃,多云~晴,微风 小于3级,
2015-12-02 星期三 ,6℃,-6℃,晴,微风 小于3级,
2015-12-03 星期四 ,7℃,-4℃,晴,微风 小于3级,
2015-12-04 星期五 ,8℃,-3℃,多云~晴,微风 小于3级,
2015-12-05 星期六 ,7℃,-3℃,晴,微风 小于3级,
2015-12-06 星期日 ,8℃,-4℃,晴,微风 小于3级,
2015-12-07 星期一 ,10℃,-3℃,晴~多云,微风 小于3级,
2015-12-08 星期二 ,7℃,-3℃,多云,微风 小于3级,
2015-12-09 星期三 ,6℃,-5℃,多云~晴,微风 小于3级,
2015-12-10 星期四 ,9℃,-1℃,晴~多云,微风 小于3级,
2015-12-11 星期五 ,9℃,-3℃,多云,微风 小于3级,
2015-12-12 星期六 ,3℃,-6℃,小到中雪~小雪,微风 小于3级,
2015-12-13 星期日 ,0℃,-9℃,多云,微风 小于3级,
2015-12-14 星期一 ,0℃,-10℃,多云,微风 小于3级,
2015-12-15 星期二 ,0℃,-10℃,晴,微风 小于3级,
2015-12-16 星期三 ,0℃,-9℃,晴,微风 小于3级,
2015-12-17 星期四 ,-1℃,-9℃,多云,微风 小于3级,
2015-12-18 星期五 ,0℃,-8℃,多云,微风 小于3级,
2015-12-19 星期六 ,2℃,-10℃,多云~晴,微风 小于3级,
2015-12-20 星期日 ,2℃,-9℃,晴~多云,微风 小于3级,
2015-12-21 星期一 ,3℃,-8℃,晴,微风 小于3级,
2015-12-22 星期二 ,1℃,-7℃,晴~多云,微风 小于3级,
2015-12-23 星期三 ,1℃,-7℃,多云,微风 小于3级,
2015-12-24 星期四 ,1℃,-10℃,多云,微风 小于3级,
2015-12-25 星期五 ,3℃,-10℃,晴,微风 小于3级,
2015-12-26 星期六 ,3℃,-10℃,晴,微风 小于3级,
2015-12-27 星期日 ,4℃,-8℃,晴,微风 小于3级,
2015-12-28 星期一 ,3℃,-8℃,多云~晴,微风 小于3级,
2015-12-29 星期二 ,4℃,-9℃,晴,微风 小于3级,
2015-12-30 星期三 ,5℃,-9℃,晴,微风 小于3级,
2015-12-31 星期四 ,5℃,-6℃,多云,微风 小于3级,
2016-01-01 星期五 ,7℃,-5℃,晴~多云,微风 小于3级,
2016-01-02 星期六 ,7℃,-4℃,晴~多云,微风 小于3级,
2016-01-03 星期日 ,6℃,-6℃,晴,微风 小于3级,
2016-01-04 星期一 ,5℃,-8℃,多云,微风 小于3级,
2016-01-05 星期二 ,3℃,-7℃,晴,微风 小于3级,
2016-01-06 星期三 ,3℃,-6℃,多云,微风 小于3级,
2016-01-07 星期四 ,5℃,-9℃,晴,微风 小于3级,
2016-01-08 星期五 ,5℃,-8℃,晴,微风 小于3级,
2016-01-09 星期六 ,4℃,-6℃,晴~多云,微风 小于3级,
2016-01-10 星期日 ,2℃,-7℃,小雪,微风 小于3级,
2016-01-11 星期一 ,1℃,-6℃,多云~小雪,微风 小于3级,
2016-01-12 星期二 ,0℃,-7℃,多云,微风 小于3级,
2016-01-13 星期三 ,1℃,-8℃,晴,微风 小于3级,
2016-01-14 星期四 ,3℃,-8℃,晴,微风 小于3级,
2016-01-15 星期五 ,4℃,-7℃,晴,微风 小于3级,
2016-01-16 星期六 ,3℃,-9℃,多云,微风 小于3级,
2016-01-17 星期日 ,1℃,-9℃,晴,微风 小于3级,
2016-01-18 星期一 ,2℃,-8℃,晴,微风 小于3级,
2016-01-19 星期二 ,2℃,-6℃,多云~小雪,微风 小于3级,
2016-01-20 星期三 ,0℃,-8℃,阴~多云,微风 小于3级,
2016-01-21 星期四 ,0℃,-11℃,多云~小雪,微风 小于3级,
2016-01-22 星期五 ,-8℃,-15℃,小雪~多云,微风 小于3级,
2016-01-23 星期六 ,-6℃,-17℃,晴,微风 小于3级,
2016-01-24 星期日 ,-5℃,-15℃,晴,微风 小于3级,
2016-01-25 星期一 ,-2℃,-12℃,晴,微风 小于3级,
2016-01-26 星期二 ,0℃,-10℃,晴,微风 小于3级,
2016-01-27 星期三 ,1℃,-9℃,晴,微风 小于3级,
2016-01-28 星期四 ,2℃,-7℃,晴~多云,微风 小于3级,
2016-01-29 星期五 ,3℃,-6℃,多云,微风 小于3级,
2016-01-30 星期六 ,0℃,-9℃,多云~小雪,微风 小于3级,
2016-01-31 星期日 ,-2℃,-11℃,多云,微风 小于3级,
2016-02-01 星期一 ,0℃,-11℃,多云,微风 小于3级,
2016-02-02 星期二 ,3℃,-6℃,晴~多云,微风 小于3级,
2016-02-03 星期三 ,2℃,-9℃,多云~晴,微风 小于3级,
2016-02-04 星期四 ,3℃,-7℃,多云,微风 小于3级,
2016-02-05 星期五 ,2℃,-8℃,晴,微风 小于3级,
2016-02-06 星期六 ,6℃,-8℃,晴,微风 小于3级,
2016-02-07 星期日 ,9℃,-5℃,晴,微风 小于3级,
2016-02-08 星期一 ,11℃,-4℃,晴,微风 小于3级,
2016-02-09 星期二 ,11℃,-4℃,晴,微风 小于3级,
2016-02-10 星期三 ,12℃,-5℃,晴,微风 小于3级,
2016-02-11 星期四 ,12℃,-2℃,多云~小雪,微风 小于3级,
2016-02-12 星期五 ,-1℃,-9℃,小雪~多云,微风 小于3级,
2016-02-13 星期六 ,-2℃,-9℃,多云,微风 小于3级,
2016-02-14 星期日 ,0℃,-10℃,晴~多云,微风 小于3级,
2016-02-15 星期一 ,3℃,-8℃,晴,微风 小于3级,
2016-02-16 星期二 ,6℃,-6℃,晴~多云,微风 小于3级,
2016-02-17 星期三 ,7℃,-5℃,晴,微风 小于3级,
2016-02-18 星期四 ,5℃,-5℃,多云,微风 小于3级,
2016-02-19 星期五 ,3℃,-9℃,多云~晴,微风 小于3级,
2016-02-20 星期六 ,7℃,-4℃,晴,微风 小于3级,
2016-02-21 星期日 ,5℃,-5℃,多云~晴,微风 小于3级,
2016-02-22 星期一 ,6℃,-3℃,多云,微风 小于3级,
2016-02-23 星期二 ,6℃,-2℃,多云,微风 小于3级,
2016-02-24 星期三 ,7℃,-2℃,晴~多云,微风 小于3级,
2016-02-25 星期四 ,8℃,-3℃,晴,微风 小于3级,
2016-02-26 星期五 ,13℃,-2℃,晴,微风 小于3级,
2016-02-27 星期六 ,13℃,1℃,浮尘~晴,微风 小于3级,
2016-02-28 星期日 ,14℃,-1℃,晴,微风 小于3级,
2016-02-29 星期一 ,17℃,0℃,晴,微风 小于3级,
2016-03-01 星期二 ,16℃,1℃,多云,微风 小于3级,
2016-03-02 星期三 ,18℃,1℃,晴,微风 小于3级,
2016-03-03 星期四 ,19℃,0℃,晴,微风 小于3级,
2016-03-04 星期五 ,12℃,-4℃,浮尘,微风 小于3级,
2016-03-05 星期六 ,11℃,0℃,晴,微风 小于3级,
2016-03-06 星期日 ,16℃,1℃,晴~多云,微风 小于3级,
2016-03-07 星期一 ,16℃,3℃,晴,微风 小于3级,
2016-03-08 星期二 ,16℃,1℃,多云,微风 小于3级,
2016-03-09 星期三 ,7℃,-3℃,雨夹雪~阴,微风 小于3级,
2016-03-10 星期四 ,7℃,-4℃,晴~多云,微风 小于3级,
2016-03-11 星期五 ,14℃,0℃,晴~多云,微风 小于3级,
2016-03-12 星期六 ,12℃,0℃,多云,微风 小于3级,
2016-03-13 星期日 ,13℃,1℃,晴~多云,微风 小于3级,
2016-03-14 星期一 ,16℃,2℃,晴~多云,微风 小于3级,
2016-03-15 星期二 ,18℃,5℃,晴~多云,微风 小于3级,
2016-03-16 星期三 ,15℃,1℃,多云,微风 小于3级,
2016-03-17 星期四 ,18℃,1℃,晴,微风 小于3级,
2016-03-18 星期五 ,24℃,6℃,晴~多云,微风 小于3级,
2016-03-19 星期六 ,22℃,8℃,多云,微风 小于3级,
2016-03-20 星期日 ,20℃,10℃,多云,微风 小于3级,
2016-03-21 星期一 ,16℃,9℃,阴,微风 小于3级,
2016-03-22 星期二 ,16℃,7℃,多云~阴,微风 小于3级,
2016-03-23 星期三 ,10℃,3℃,小雨,微风 小于3级,
2016-03-24 星期四 ,14℃,1℃,小雨~多云,微风 小于3级,
2016-03-25 星期五 ,14℃,1℃,多云~晴,微风 小于3级,
2016-03-26 星期六 ,14℃,1℃,晴,微风 小于3级,
2016-03-27 星期日 ,19℃,5℃,晴,微风 小于3级,
2016-03-28 星期一 ,17℃,7℃,多云,微风 小于3级,
2016-03-29 星期二 ,17℃,5℃,多云,微风 小于3级,
2016-03-30 星期三 ,22℃,7℃,晴,微风 小于3级,
2016-03-31 星期四 ,26℃,9℃,晴,微风 小于3级,
2016-04-01 星期五 ,23℃,10℃,晴~多云,微风 小于3级,
2016-04-02 星期六 ,24℃,9℃,晴,微风 小于3级,
2016-04-03 星期日 ,20℃,10℃,晴~多云,微风 小于3级,
2016-04-04 星期一 ,22℃,12℃,多云,微风 小于3级,
2016-04-05 星期二 ,18℃,10℃,小雨,微风 小于3级,
2016-04-06 星期三 ,19℃,8℃,多云,微风 小于3级,
2016-04-07 星期四 ,21℃,7℃,多云~晴,微风 小于3级,
2016-04-08 星期五 ,20℃,8℃,多云,微风 小于3级,
2016-04-09 星期六 ,23℃,8℃,晴,微风 小于3级,
2016-04-10 星期日 ,23℃,8℃,多云~晴,微风 小于3级,
2016-04-11 星期一 ,24℃,9℃,晴~多云,微风 小于3级,
2016-04-12 星期二 ,20℃,7℃,多云~晴,微风 小于3级,
2016-04-13 星期三 ,24℃,9℃,晴,微风 小于3级,
2016-04-14 星期四 ,23℃,9℃,多云~小雨,微风 小于3级,
2016-04-15 星期五 ,15℃,6℃,小雨~多云,微风 小于3级,
2016-04-16 星期六 ,17℃,3℃,阵雨~多云,微风 小于3级,
2016-04-17 星期日 ,18℃,1℃,晴,微风 小于3级,
2016-04-18 星期一 ,23℃,6℃,晴,微风 小于3级,
2016-04-19 星期二 ,21℃,9℃,多云,微风 小于3级,
2016-04-20 星期三 ,23℃,10℃,晴~多云,微风 小于3级,
2016-04-21 星期四 ,23℃,10℃,晴,微风 小于3级,
